Token,bible_1.txt,bible_10.txt,bible_11.txt,bible_12.txt,bible_13.txt,bible_14.txt,bible_15.txt,bible_2.txt,bible_3.txt,bible_4.txt,bible_5.txt,bible_6.txt,bible_7.txt,bible_8.txt,bible_9.txt
ahijah,0,0,0,0,0,0,0,0,0,0,13,6,1,0,0
ahikam,0,16,0,0,0,0,0,0,0,0,0,3,1,0,0
ahilud,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
ahimaaz,0,0,0,0,0,0,0,0,0,1,11,3,0,0,0
ahiman,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0
ahimelech,0,0,0,0,0,0,0,0,0,11,1,3,0,0,0
ahimelechs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ahimoth,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ahinadab,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ahinoam,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0
ahio,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0
ahira,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ahiram,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ahiramites,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ahisamach,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ahishahar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ahishar,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ahithophel,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0
ahitub,0,0,0,0,0,0,0,0,0,5,1,7,2,0,0
ahlab,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ahlai,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ahoah,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ahohite,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
aholah,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
aholiab,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
aholibah,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
aholibamah,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ahumai,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ahuzam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ahuzzath,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ai,0,1,0,0,0,0,0,0,32,1,0,0,2,0,0
aiah,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
aiath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aided,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
aija,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
aijalon,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0
ailed,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
